date,predicted_sales
2025-01-06,71669.6
2025-01-13,73169.93
2025-01-20,73271.57
2025-01-27,75268.45
2025-02-03,80335.8
2025-02-10,80992.06
2025-02-17,81989.89
2025-02-24,82848.1
2025-03-03,85120.89
2025-03-10,86736.22
2025-03-17,88503.58
2025-03-24,90304.41
2025-03-31,92148.51
2025-04-07,108316.58
2025-04-14,109688.76
2025-04-21,111531.63
2025-04-28,112385.03
2025-05-05,98587.76
2025-05-12,101213.44
2025-05-19,103261.3
2025-05-26,106251.04
2025-06-02,106496.11
2025-06-09,107821.25
2025-06-16,108913.77
